@relation ComputerAndNetworkSecurity

@attribute ComputerNetworksI {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute OperatingSystems {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute class {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}

@data
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,HIGH
HIGH,HIGH,HIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
HIGH,MEDIUM,MEDIUM
VERYHIGH,VERYHIGH,HIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
MEDIUM,VERYLOW,VERYLOW
VERYHIGH,MEDIUM,HIGH
VERYHIGH,HIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
LOW,HIGH,VERYLOW
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
HIGH,HIGH,HIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
MEDIUM,MEDIUM,HIGH
HIGH,VERYHIGH,HIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
HIGH,MEDIUM,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
LOW,LOW,VERYLOW
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,MEDIUM,HIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
MEDIUM,MEDIUM,HIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
LOW,LOW,VERYLOW
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
HIGH,HIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
