@relation DATAMINING-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C5-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C5-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C7-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C7-K5-P100.0-S1

@attribute DataStructureswithJava {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute AnalysisandDesignofAlgorithms {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute class {VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}

@data
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,MEDIUM,HIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,HIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
MEDIUM,VERYLOW,VERYLOW
HIGH,MEDIUM,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
LOW,MEDIUM,LOW
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,LOW,MEDIUM
HIGH,VERYHIGH,HIGH
HIGH,VERYHIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
HIGH,HIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
LOW,MEDIUM,VERYLOW
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,MEDIUM,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,HIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,HIGH
HIGH,VERYHIGH,VERYHIGH
HIGH,VERYHIGH,VERYHIGH
VERYHIGH,HIGH,VERYHIGH
