@relation DATAMINING-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C5-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C5-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C7-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C7-K5-P100.0-S1

@attribute DataStructureswithJava {S,A,B,C,D,E,F,W,X,VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute AnalysisandDesignofAlgorithms {S,A,B,C,D,E,F,W,X,VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}
@attribute class {S,A,B,C,D,E,F,W,X,VERYHIGH,HIGH,MEDIUM,LOW,VERYLOW}

@data
S,S,A
S,S,S
A,A,A
A,B,A
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
S,S,S
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,S,S
S,A,A
A,S,S
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
S,S,S
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
D,D,F
S,S,S
S,A,A
A,S,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,C,B
A,B,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
