@relation COMPUTERNETWORKSANDSECURITY

@attribute ComputerNetworksI {10,9,8,7,6,5,4}
@attribute OperatingSystems {10,9,8,7,6,5,4}
@attribute CNS {10,9,8,7,6,5,4}

@data
10,9,9
9,10,10
8,7,8
9,8,8
9,9,9
10,10,10
8,10,10
10,10,10
10,9,9
9,10,10
8,8,8
9,9,9
9,9,10
10,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
9,8,8
9,9,9
10,10,10
8,10,10
10,10,10
10,9,9
9,10,10
8,7,8
9,8,8
9,9,9
6,6,6
8,10,10
10,10,10
10,9,9
9,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
9,8,8
9,9,9
10,10,10
8,10,10
10,10,10
10,9,9
9,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
9,8,8
9,9,9
10,10,10
8,10,10
10,10,10
10,9,9
9,10,10
9,9,9
6,6,6
8,10,10
10,10,10
10,9,9
9,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
9,9,9
6,6,6
8,10,10
10,10,10
10,9,9
9,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
9,9,9
6,6,6
8,10,10
10,10,10
10,9,9
9,10,10
8,9,10
7,6,7
9,9,9
8,8,8
5,6,4
10,9,10
8,7,8
10,9,9
7,5,4
8,7,8
9,8,8
9,9,9
10,10,9
10,10,10
9,9,9
9,8,9
8,8,8
9,9,9
9,9,10
10,10,10
8,9,10
7,6,7
9,9,9
8,8,8
10,10,10
10,9,10
8,7,8
9,8,8
9,9,9
10,10,10
8,10,10
10,10,10
10,9,9
7,5,4
8,7,8
9,8,8
9,9,9
5,7,5
8,10,10
10,10,10
10,9,9
9,10,10
8,8,8
9,9,9
9,9,10
10,10,10
8,9,10
7,6,7
9,9,9
8,8,8
10,10,10
10,9,10
8,7,8
9,8,8
9,9,9
10,10,10
6,6,4
10,10,10
5,7,5
8,10,10
10,9,9
7,5,4
8,7,8
9,8,8
9,9,9
5,7,5
8,10,10
10,9,9
7,5,4
8,7,8
9,8,8
9,9,9
5,7,5
8,10,10
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,6,7
7,5,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
7,5,4
7,5,4
7,5,4
7,5,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
7,5,4
7,5,4
7,5,4
7,5,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
5,6,4
7,5,4
7,5,4
7,5,4

