@relation NATURALLANGUAGEPROCESSING

@attribute FiniteAutomataandFormalLanguages {S,A,B,C,D,E,F,W,X}
@attribute AnalysisandDesignofAlgorithms {S,A,B,C,D,E,F,W,X}
@attribute NLP {S,A,B,C,D,E,F,W,X}

@data
S,S,A
S,S,S
A,A,A
A,B,A
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
S,S,S
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,S,S
S,A,A
A,S,S
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
S,S,S
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
D,D,F
S,S,S
S,A,A
A,S,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,B,B
A,A,A
A,A,S
S,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,C,B
A,B,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,B,B
A,A,A
S,S,S
B,S,S
S,S,S
S,A,A
A,S,S
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
A,A,A
D,D,D
B,S,S
S,S,S
S,A,A
A,S,S
B,A,S
C,D,C
A,A,A
B,B,B
E,D,F
S,A,S
B,C,B
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
S,A,A
C,E,F
B,C,B
A,B,B
A,A,A
E,C,E
B,S,S
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
D,D,D
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,D,C
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
C,E,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
E,D,F
C,E,F
C,E,F
C,E,F
